,ADF_statistic_in,ADF_statistic_out,ASR_in,ASR_out,PS_in,PS_out,date_in,date_out,hedge_ratio_in,hedge_ratio_out,intercept_in,intercept_out,reason,sigma_in,sigma_out,spread_in,spread_out,stock_1_in,stock_1_log_in,stock_1_log_out,stock_1_out,stock_2_in,stock_2_log_in,stock_2_log_out,stock_2_out
"(2816, 2849)",-3.0557201474732656,,4.598268132215958,,5.006268562511505,,2001-12-17,2002-01-02,-3.7082806617980615,,19.533434597664172,,cointegration_invalid,0.22230370258191764,,1.0222120312560463,,141.48,4.95215836433728,,140.33,8.95,2.191653532286764,,8.0
"(2836, 2850)",-2.1891994032894857,,3.6558203325282737,,1.2779574571843124,,2001-12-17,2002-01-02,-1.3359509458056713,,3.4932189281021784,,cointegration_invalid,0.16985766027290555,,0.6209690880613681,,8.76,2.1701959049483,,7.95,3.37,1.2149127443642704,,2.92
"(2832, 2838)",-2.2560798796240054,,3.1797972046238345,,1.3447897300990592,,2001-12-31,2002-01-02,2.476062206203655,,-1.3306365282949917,,cointegration_invalid,0.11594437858888783,,-0.3686796109287931,,3.63,1.2892326482767593,,3.59,4.45,1.4929040961781488,,4.41
"(2832, 2849)",-2.1796282118541983,,3.84246275410875,,1.2735394104720092,,2001-12-31,2002-01-02,1.5161120761104654,,0.41926028475998206,,cointegration_invalid,0.07147429144461258,,-0.2746373027522375,,3.63,1.2892326482767593,,3.59,8.16,2.0992441689760155,,8.0
"(2820, 2851)",-2.0023249023384846,,3.03543453102392,,1.0025848008294984,,2001-12-31,2002-01-02,-0.0037317204422254203,,0.9688798280992237,,cointegration_invalid,0.05541103825791932,,0.16819657892797582,,1.93,0.6575200029167941,,1.95,3.11,1.1346227261911428,,3.08
"(2809, 2832)",-3.049937846156234,-3.23185702298544,3.7425461213850015,0.2564187412299643,3.997513090631828,0.18702971656461065,2001-12-31,2002-01-14,0.41572588899814444,0.4359197409823762,0.7008738174060102,0.6822102571100234,reversion,0.03517318323687035,0.03793981962700752,0.1316372604999131,-0.009728480791249161,3.0,1.0986122886681098,1.1184149159642893,3.06,3.63,1.2892326482767593,1.1600209167967532,3.19
"(2820, 2852)",-2.581521589712937,,3.2266278029408793,,1.976279895461873,,2002-01-07,2002-01-28,0.3550638829160143,,0.8687906667879466,,cointegration_invalid,0.05409031069300025,,-0.17452930035174494,,2.02,0.7030975114131134,,2.04,2.57,0.9439058989071284,,2.53
"(2836, 2851)",-2.656899868434132,,3.0090863770465743,,2.061976263618115,,2002-01-14,2002-01-28,0.3902914800498186,,0.24671046562223442,,cointegration_invalid,0.04228751474708714,,0.12724678454461602,,7.86,2.061786606441115,,8.09,3.25,1.1786549963416462,,3.37
"(2816, 2852)",-3.33285386350645,-2.890115569799293,4.705852406364877,0.3688234444908892,7.880042493337734,0.41154603286122104,2001-12-17,2002-02-01,-2.167112855815655,-0.9901936312419297,11.27501114816891,5.769901976835326,take_profit,0.11590607034303042,0.08090729342231584,0.5454368600360464,0.02984050664445359,141.48,4.95215836433728,4.939926665825801,139.76,2.97,1.0885619528146082,0.9082585601768908,2.48
"(2834, 2838)",-2.1612216874095496,,3.0310257588857636,,1.1957563403287677,,2002-03-25,2002-04-01,0.4322469670294202,,0.6782540877718736,,cointegration_invalid,0.029634791049028282,,0.08982381502880199,,6.04,1.7984040119467235,,6.17,4.69,1.545432582458188,,4.65
"(2836, 2849)",-3.0922508815021987,,3.145876657874685,,3.4967034397183765,,2002-04-08,2002-04-15,-0.21369164942398547,,2.522851229382137,,cointegration_invalid,0.07932984493591856,,0.24956190745672446,,8.14,2.096790180014449,,8.09,10.22,2.3243465847755584,,9.19
"(2849, 2851)",-2.41957523376894,,3.1806870461893246,,1.6249699754641855,,2002-04-08,2002-04-15,-4.263581563912133,,10.037169659682245,,cointegration_invalid,0.34754499025963115,,1.1054318484868038,,10.22,2.3243465847755584,,9.19,3.43,1.2325602611778486,,3.24
"(2816, 2849)",-2.273747038886189,,3.196322896098924,,1.374505936650172,,2002-04-08,2002-04-15,-0.16968941516928512,,2.9260216202818614,,cointegration_invalid,0.08034295712259222,,0.25680203339123564,,157.45,5.059107947547034,,148.32,10.22,2.3243465847755584,,9.19
"(2801, 2836)",-2.0800990612236236,,3.0020066353111408,,1.0920442206415721,,2002-04-08,2002-04-15,83.61993108855096,,-144.1209992259844,,cointegration_invalid,7.750059017836331,,-23.265728595597608,,7.59,2.0268315914075385,,7.05,8.14,2.096790180014449,,8.09
"(2832, 2852)",-2.673182393048461,,3.5091610563445323,,2.3282052429093962,,2002-04-08,2002-04-22,-3.5818164444622296,,5.141030498308573,,cointegration_invalid,0.2266706219407875,,0.7954237191320059,,3.86,1.3506671834767394,,3.99,3.0,1.0986122886681098,,3.3
"(2851, 2852)",-2.55759493426359,,3.1172865625762287,,1.8850696527801667,,2002-04-08,2002-04-22,-0.9706332810018291,,2.035399029279619,,cointegration_invalid,0.0832702622993678,,0.2595772697280172,,3.43,1.2325602611778486,,3.49,3.0,1.0986122886681098,,3.3
"(2816, 2852)",-2.2470708344693566,,3.44818401667319,,1.3577597097295244,,2002-04-08,2002-04-22,-0.742230971672849,,4.593354508727425,,cointegration_invalid,0.07548448295908373,,0.2602843876463523,,157.45,5.059107947547034,,172.28,3.0,1.0986122886681098,,3.3
"(2836, 2838)",-2.2276449993373735,,3.1309173780087405,,1.2966929889544692,,2002-04-08,2002-04-22,-0.02980611488788323,,1.5122457485557268,,cointegration_invalid,0.07558499488935969,,0.23665037401579808,,8.14,2.096790180014449,,9.09,5.4,1.6863989535702288,,5.84
"(2809, 2851)",-2.0218468360680255,,3.078003612843824,,1.0248661177923497,,2002-04-08,2002-04-22,0.8665687991365236,,0.11291832670842765,,cointegration_invalid,0.08136333726705149,,-0.250436646061015,,4.86,1.5810384379124025,,5.87,3.43,1.2325602611778486,,3.49
"(2809, 2816)",-2.612884970672452,,3.496269637214359,,2.1536111181718525,,2002-04-08,2002-04-29,1.1368790720599442,,3.5901380578674464,,cointegration_invalid,0.09395145586285032,,-0.32847962250536855,,4.86,1.5810384379124025,,6.43,157.45,5.059107947547034,,164.29
"(2823, 2838)",-2.371708686494231,,3.5581148381015417,,1.6028513510308031,,2002-04-22,2002-04-29,0.18358322189379475,,1.2958415122883291,,cointegration_invalid,0.059358393400244534,,0.2112039803232787,,4.07,1.4036429994545037,,3.81,5.84,1.7647307968401356,,6.2
"(2849, 2851)",-2.352685480372677,,3.349678960194662,,1.531655168081697,,2002-04-22,2002-05-02,10.45146221037582,,-21.09051722214745,,cointegration_invalid,0.9045719337128915,,-3.030025574340673,,11.33,2.427454075039915,,10.22,3.49,1.2499017362143359,,3.25
"(2820, 2838)",-2.5106661055701927,,3.679946995705443,,1.9451634814603898,,2002-04-29,2002-05-02,0.3828004722340809,,1.2101826826801527,,cointegration_invalid,0.05800420604690091,,0.2134524037805725,,2.85,1.0473189942805592,,2.74,6.2,1.824549292051046,,5.64
"(2838, 2850)",-2.26818563270411,,3.183331793549091,,1.3641612293690988,,2002-04-29,2002-05-02,0.9486042342931772,,-0.36654546078629974,,cointegration_invalid,0.04971486687691131,,-0.15825891634133238,,6.2,1.824549292051046,,5.64,3.34,1.205970806988609,,3.08
"(2816, 2849)",-2.3518234442603903,,3.4294902782729704,,1.5427882156932964,,2002-04-22,2002-05-06,0.040618305461143284,,1.9220544197141913,,cointegration_invalid,0.0863834153791138,,0.2962510832466866,,172.28,5.14912106018591,,153.46,11.33,2.427454075039915,,10.78
"(2823, 2845)",-2.2476932332536332,,3.6603459586143914,,1.3790519273607986,,2002-04-29,2002-05-13,0.30316720362869765,,0.7738605824235761,,cointegration_invalid,0.07691951091841218,,0.28155202092880555,,3.81,1.3376291891386096,,3.33,4.31,1.4609379041156563,,3.94
"(2809, 2832)",-2.992440665575722,-3.2853079825003144,3.062290472602016,0.12600564471912515,3.0364923829205615,0.06977889485394265,2002-04-29,2002-06-10,0.37220008536788096,0.3003714398666687,0.7525351012039005,0.8291659486693352,reversion,0.039438135241104656,0.04256516214239084,-0.12077102580602461,0.0053634506983260555,6.43,1.860974538249528,1.5953389880545987,4.93,3.76,1.324418957401803,1.3137236682850553,3.72
"(2823, 2851)",-2.053743299487325,,3.2663674112508176,,1.065681805478559,,2002-07-08,2002-07-15,0.3637845295490535,,0.7397169581525557,,cointegration_invalid,0.040521061139962365,,0.13235667357687497,,2.87,1.0543120297715298,,2.84,3.51,1.2556160374777743,,3.59
"(2836, 2850)",-2.045123538835251,,3.854669992423906,,1.0627761905339617,,2002-08-12,2002-08-19,1.0261183937881728,,-1.0432377957889984,,cointegration_invalid,0.05620618487143424,,-0.21665629421254806,,8.76,2.1701959049483,,8.31,2.63,0.9669838461896731,,2.6
"(2834, 2845)",-2.7165165052458,,3.543900475589428,,2.4757829983511037,,2002-08-19,2002-08-26,0.9209196831174777,,-0.5260329533651318,,cointegration_invalid,0.050138794068374036,,0.17768689614439115,,5.76,1.7509374747078,,5.76,3.54,1.264126727145683,,3.54
"(2832, 2850)",-2.3880556975027063,,3.3108466362656754,,1.5913485624301262,,2002-08-26,2002-09-02,0.8685536408928884,,0.009801157958584066,,cointegration_invalid,0.05259070314838723,,-0.17411975261768453,,3.55,1.2669476034873244,,3.53,2.55,0.9360933591703348,,2.5
"(2845, 2850)",-2.309148852327216,,3.108548228718022,,1.4199518561718518,,2002-08-26,2002-09-02,0.399088238375027,,0.5982117610886218,,cointegration_invalid,0.05359946131714336,,-0.16661651053764615,,3.54,1.264126727145683,,3.4,2.55,0.9360933591703348,,2.5
"(2809, 2834)",-2.36139792599022,,3.0433250605524664,,1.4951373420727496,,2002-08-05,2002-09-30,0.5023832543768267,,1.1676870328273599,,cointegration_invalid,0.05370574929385144,,-0.16344405272172602,,4.15,1.423108334242607,,2.71,5.58,1.7191887763932197,,4.44
"(2838, 2845)",-2.4435305632361035,-3.232538750615073,3.9354021892515196,0.19303706892200923,1.8360980137357004,0.1316814193180002,2002-09-02,2002-09-30,1.0627731342474571,1.065264892769961,-0.47994093835534235,-0.4798525649682263,reversion,0.04217351607248117,0.046726931208932614,0.16596974748007653,-0.00902002984029271,4.25,1.4469189829363254,1.4085449700547104,4.09,3.4,1.2237754316221157,1.0116009116784799,2.75
