,ADF_statistic_in,ADF_statistic_out,ASR_in,ASR_out,PS_in,PS_out,date_in,date_out,hedge_ratio_in,hedge_ratio_out,intercept_in,intercept_out,reason,sigma_in,sigma_out,spread_in,spread_out,stock_1_in,stock_1_log_in,stock_1_log_out,stock_1_out,stock_2_in,stock_2_log_in,stock_2_log_out,stock_2_out
"(2421, 2462)",-3.1344892259474015,-2.6863528428876755,2.2443893793510976,0.24677853894738758,2.712857308366782,0.33276618477146924,2000-12-26,2001-01-29,0.6737148186400785,0.7371938667776586,0.03321878534098429,-0.09350405058151404,take profit,0.10535844017038144,0.1043152140525952,-0.23646536414340213,-0.025742756113883436,4.27,1.451613827240533,1.5871923034867805,4.89,2.17,0.7747271675523681,1.0508216248317612,2.86
"(2431, 2492)",-3.919293309014582,,1.6267896752753064,,2.6714072296212708,,2001-01-02,2001-01-29,1.334832016740149,,0.9994303415027507,,cointegration_invalid,0.12232671799677028,,-0.1989998418474599,,4.67,1.541159071680806,,6.01,17.42,2.857618971424357,,27.87
"(2457, 3026)",-2.7114167814257617,-3.5695772273565463,1.7135183141394061,0.1909292615848702,1.5480367167366753,0.06300297983357449,2001-01-02,2001-01-29,0.8423980918442099,0.9262025959810196,1.4997325273698006,1.2604092398673272,take profit,0.18617832887099345,0.15586077845860416,-0.3190199762163166,-0.029758383341144334,9.72,2.2741856184723477,2.552565298261815,12.84,22.12,3.096482176654134,3.594843462187342,36.41
"(2457, 2478)",-3.647086638730424,-4.013260302747622,1.9698172850821751,0.3801984221136111,3.268794608306687,0.12955448756179028,2001-01-08,2001-01-29,0.792115180678,0.8125863419293452,0.6514612816372627,0.5899539922181444,take profit,0.10035899108891781,0.09999218807282857,-0.19768887536035828,-0.038016872128976864,11.92,2.4782176616372036,2.552565298261815,12.84,11.21,2.4168062370840686,2.626116818339524,13.82
"(2484, 3026)",-2.5247096513165785,-2.8599233296233955,1.6630425903503234,0.47154857259763494,1.3740434564738353,0.4859710606832321,2001-01-08,2001-01-29,1.5396121097500872,1.5831037148167675,-1.6859816187403454,-1.8485513461652339,reversion,0.1842440947163735,0.18598730457716364,-0.30640577653386813,0.0877020479946431,29.81,3.39484390768998,3.3830334110344844,29.46,25.39,3.234355395716587,3.594843462187342,36.41
"(2420, 2428)",-3.2736013645330253,-3.1883673935232766,1.511193149452056,0.3818900645109732,1.7632511020632553,0.2893230362552064,2001-01-15,2001-01-29,2.0608193088842564,2.151329878357883,-1.1571507593167485,-1.3046105355441326,take profit,0.2320975932428741,0.23507396146261983,-0.3507442929129412,-0.08977241030780991,4.53,1.5107219394949427,1.430311246536665,4.18,4.98,1.6054298910365616,1.682688374173693,5.38
"(1471, 2478)",-3.5932772324474067,-3.1837199397434057,2.5682684179557778,0.37259406337088347,4.938951732549656,0.28157041118449794,2000-12-11,2001-02-01,0.9058684495191366,1.3346385199775763,1.202475471748296,0.3143559401970346,reversion,0.1910408665796181,0.22727038801673344,-0.4906442241753366,0.08467959735503205,6.71,1.9035989509835904,1.81319474994812,6.13,11.43,2.4362414778067194,2.818995095053937,16.76
"(1471, 2492)",-2.8800354830811967,-3.2915917389138896,2.781370463231478,0.1505788606902003,2.725143807839506,0.07174360318668396,2000-12-11,2001-02-01,1.5410069691694892,2.2140390472688702,0.9408494666828029,-0.4510434627629284,take profit,0.25197964980913024,0.3268195155372596,-0.7008487553145262,-0.04921211030092376,6.71,1.9035989509835904,1.81319474994812,6.13,23.89,3.173459961337718,3.5142284036242013,33.59
"(1471, 3026)",-3.229162838179261,-3.1154528574727514,1.5048991628768815,0.3287026293636825,1.7216158027181871,0.2586408042849103,2000-12-11,2001-02-01,1.0865712852240124,1.6063957025893942,1.8082106658239518,0.7818281363594102,reversion,0.3398114079380165,0.28998545282323923,-0.5113819033419356,0.09531898082021684,6.71,1.9035989509835904,1.81319474994812,6.13,28.94,3.365224721203338,3.7898553714539385,44.25
"(1471, 2328)",-2.025297422243522,-2.843473363365794,2.765476262316042,0.24935912915376593,1.1359327846389633,0.2697246953328662,2000-12-11,2001-02-01,1.4484401090355192,2.032250529183206,-0.16059787174772264,-1.3451727827783648,take profit,0.2786103482169066,0.3083463781520449,-0.7704903044294618,-0.07688898433371172,6.71,1.9035989509835904,1.81319474994812,6.13,6.21,1.8261608959453874,2.262804222982201,9.61
"(2327, 2375)",-2.039712076692134,,1.7888294940569973,,1.0846432854600152,,2001-01-29,2001-02-01,3.3991019781712533,,-10.349164108777162,,cointegration_invalid,0.4157847825347905,,-0.7437680821783079,,61.27,4.115290326737563,,71.48,18.09,2.895359299407204,,21.8
"(2327, 2328)",-2.0391023202473924,,1.7165617302175633,,1.078056867817312,,2001-01-29,2001-02-01,3.0531287021289075,,-9.762382546786828,,cointegration_invalid,0.4159331834787715,,-0.7139749850872192,,61.27,4.115290326737563,,71.48,8.07,2.0881534822818573,,9.61
"(2328, 2421)",-3.30206311772015,,1.7919669666422373,,2.2656073711674325,,2000-12-26,2001-02-05,0.7339564416370337,,-0.04420549708440552,,cointegration_invalid,0.10774842191221448,,0.19308161277451896,,5.9,1.7749523509116738,,10.9,4.27,1.451613827240533,,6.31
"(2413, 2460)",-2.630465467068675,-2.5835278173713165,1.9275744443131335,0.07580091626320322,1.6150679910994694,0.17148507420023068,2001-01-02,2001-02-05,1.3114978979866294,1.5007842679920156,-3.439394939345472,-4.179133866922547,reversion,0.16006117768123987,0.16437796969268506,-0.3085298356250217,0.012460000716190578,35.57,3.571502585960364,3.8159525366774125,45.42,2.55,0.9360933591703348,1.5602476682433286,4.76
"(2327, 2457)",-2.214237559204931,,1.8772922770114642,,1.218860476501463,,2001-02-01,2001-02-05,2.4577006381837214,,-7.114259024992653,,cointegration_invalid,0.3349823731192822,,-0.6288598219918011,,71.48,4.2694176902912275,,73.86,15.64,2.7498317351171653,,17.45
"(2478, 2484)",-3.55186941350781,-3.375688129824702,1.5404342010735959,0.18134800154419814,2.0415592290117557,0.08050004111807028,2001-02-01,2001-02-12,0.7335130001994515,0.7163763579651066,1.498050215923707,1.5390993866487548,take profit,0.10730044350781712,0.10360896234310366,-0.16528927296980678,-0.018789278262989928,16.76,2.818995095053937,2.7862450486872667,16.22,29.98,3.4005304926744517,3.51631018876266,33.66
"(2492, 3026)",-2.367694300508399,,1.5574391223424955,,1.230239212019201,,2001-02-01,2001-02-12,0.7213759945778827,,1.1257953779188548,,cointegration_invalid,0.08281542555758817,,0.1289799836968304,,33.59,3.5142284036242013,,30.86,44.25,3.7898553714539385,,47.61
"(2420, 2428)",-2.896793939809891,-2.7500974768624875,1.9628313120817873,0.010411574081752258,1.95859200327884,0.02063933443411873,2001-02-05,2001-02-19,2.2552812652379233,2.262297117604854,-1.4722706772193217,-1.4999064702401488,reversion,0.23919739832141051,0.24581618643527522,-0.4695041431937641,0.0025593334355646924,5.35,1.6770965609079151,1.556037135706985,4.74,6.3,1.840549633397487,2.0228711901914416,7.56
"(2328, 2421)",-2.968557135952677,,1.9940915358033688,,2.0907146140839976,,2001-02-12,2001-02-19,0.6483859005116108,,0.18000106186808076,,cointegration_invalid,0.07189475798659148,,0.14336472836969372,,10.79,2.378619779270043,,10.57,6.46,1.8656293177945105,,6.94
"(2328, 2457)",-3.095814768631004,,1.8119716970907729,,2.0356413696205036,,2001-02-12,2001-02-19,0.7848403462076649,,0.7985472526889336,,cointegration_invalid,0.12016705656787928,,0.21773930542370312,,10.79,2.378619779270043,,10.57,17.87,2.8831233291713367,,15.92
"(2421, 2476)",-2.1574347836889305,,1.9069712219234904,,1.180783655069629,,2001-02-12,2001-02-19,0.9872464611536842,,1.2390183832172166,,cointegration_invalid,0.14361211796424436,,-0.2738641760772955,,6.46,1.8656293177945105,,6.94,16.56,2.8069901489571136,,15.93
